ID,"Šifra / kat. broj ***",Naslov
f_id,"f_code ***",f_title
34998,0001324763,"PERILICA RUBLJA LG F2WR509SWW"
33717,004.500.010,"Auto na daljinsko upravljanje KAZOO K16-10"
33713,004.500.012,"Auto na daljinsko upravljanje KAZOO C021"
33724,004.500.038,"Bager na daljinsko upravljanje KAZOO BC1025"
33725,004.500.039,"Radni stroj na daljinsko upravljanje KAZOO BC1026"
33719,004.500.041,"Auto na daljinsko upravljanje rukom KAZOO C002"
33721,004.500.045,"Auto na daljinsko upravljanje rukom KAZOO C049"
33722,004.500.046,"Auto na daljinsko upravljanje rukom KAZOO CO48"
33723,004.500.047,"Auto na daljinsko upravljanje rukom KAZOO CO59"
33715,004.500.048,"Auto na daljinsko upravljanje KAZOO C052"
33716,004.500.049,"Auto na daljinsko upravljanje KAZOO C055"
33709,004.500.050,"Auto na daljinsko upravljanje KAZOO C005"
33708,004.500.051,"Auto na daljinsko upravljanje KAZOO C004"
33710,004.500.053,"Auto na daljinsko upravljanje KAZOO C006"
33707,004.600.017,"Robot na daljinsko upravljanje KAZOO T-Rex"
35182,005.100.003,"Digitalna ploča za crtanje KAZOO KS-P-01 Roza"
35183,005.100.004,"Digitalna ploča za crtanje KAZOO KS-P-01 Plava"
35184,005.100.005,"Dječji Fotoaparat KAZOO X2HD Plavi"
35185,005.100.006,"Dječji Fotoaparat KAZOO X2HD Zeleni"
35186,005.100.007,"Dječji Fotoaparat KAZOO X2HD Rozi"
826,008308,"KAMIN PLAMEN FRANKLIN GLAS"
27373,01-0001143732,"MFP HP MLJ M438n, 8AF43A"
16868,01-0001155828,"MON 25 HP OMEN X 25f GAMING, 4WH47AA#ABB"
14655,01-0001155831,"HP MON 24 X24c Curved Gaming, 9FM22AA"
11610,01-0001162629,"SSD 2TB WD Blue 3D Nand SATA WDS200T2B0A"
27425,01-0001173694,"PRINTER MLJ CANON LBP226dw"
12961,01-0001182253,"VIVAX tablet TPC-806 3G"
30962,01-0001182781,"Lenovo prijenosno računalo V15 ADA, 82C7001HSC"
11371,01-0001182921,"NAPAJANJE Seasonic FOCUS GX-1000, 80+Gold"
15219,01-0001183390,"Projektor ACER X1323WHP WXGA 4000Lm 1280x800, HDMI, USB, VGA"
13588,01-0001183920,"MS ALPHA C105 žičana tipkovnica"
16170,01-0001183927,"MS ALPHA M300 Bežični set"
13247,01-0001183941,"MS ELITE C330 gaming LED tipkovnica"
13883,01-0001183948,"MS ELITE C500 4in1 set"
13251,01-0001183958,"KB MS ELITE C710 mehanička tipkovnica mala"
15092,01-0001183974,"MS EOS C103 crne slušalice"
13629,01-0001183980,"MS METIS B301 bluetooth slušalice"
13884,01-0001183992,"MS ICARUS C500 gaming slušalice"
13241,01-0001183995,"MS ICARUS C300 gaming slušalice"
13248,01-0001183998,"MS ICARUS C305 gaming slušalice"
11470,01-0001184198,"Bežični desktop komplet MK470 Slim Wireless bijela"
11503,01-0001184550,"CPU INT Core i5 10400F"
27494,01-0001184715,"PRN MFP HP Deskjet 2710 AiO"
15176,01-0001185595,"PROJEKTOR ACER X1327Wi"
15141,01-0001185600,"PROJEKTOR ACER S1386WHn"
13887,01-0001185857,"CPU INT Core i9 10900K tray"
27353,01-0001186030,"PRN MFP HP MLJ M442dn A3, 8AF71A#B19"
12917,01-0001186036,"Web kamera Logitech StreamCam crna"
12970,01-0001186708,"MON 27 LG 27GN850-B UltraGear 144Hz"
27409,01-0001186795,"Pisač Inkjet Multifunkcijski Canon PIXMA TR4551 Bijeli"
15951,01-0001186849,"MS BASE M400 napajanje"
13630,01-0001186857,"MS CORE M700 napajanje"
13626,01-0001186863,"MS CORE M600 napajanje"
13252,01-0001186866,"MS CORE M500 napajanje"
13959,01-0001187122,"MS BASE M500 napajanje"
12999,01-0001187150,"MON 27 LG 27QN880-B 2K IPS Ergo"
13001,01-0001187207,"MON 32 LG 32UN880-B 4K IPS HDMI ERGO"
12899,01-0001187830,"CPU AMD Ryzen 5 3500X"
12942,01-0001188176,"CPU INT Core i9 10850K"
12975,01-0001188855,"PANASONIC slušalice RB-M500BE-C bež, naglavne, BT, Deep Bass"
12986,01-0001188861,"PANASONIC slušalice RB-M500BE-K crne, naglavne, BT, Deep Bas"
12965,01-0001188863,"PANASONIC slušalice RB-M300BE-K crne, naglavne, BT, Deep Bas"
27408,01-0001188890,"Pisač Canon PIXMA TS6350 crni"
30310,01-0001189164,"Prijenosno računalo HP 15s-fq2021nm, 2L3M7EA"
29848,01-0001189168,"Prijenosno računalo HP 15s-fq2012nm, 2L3L8EA"
29847,01-0001189174,"HP Prijenosno računalo 15s-fq2020nm, 2L3M6EA"
29844,01-0001189226,"HP prijenosno računalo 15s-fq2006nm, 2L3L6EA"
15237,01-0001189663,"PROJEKTOR ACER P1560BTi"
20171,01-0001190640,"CPU AMD Ryzen 5 3500 tray"
28058,01-0001190932,"Web kamera Logitech C925E"
12968,01-0001191315,"CPU INT Core i7 10700F"
12974,01-0001191317,"PANASONIC slušalice RB-M300BE-C bež, naglavne, BT, Deep Bas"
12979,01-0001192374,"CPU INT Core i3 10100F"
13176,01-0001192538,"Napajanje Seasonic CONNECT 750W Gold"
15168,01-0001192855,"PROJEKTOR ACER X1227i"
12905,01-0001194213,"Napajanje Thermaltake Smart BM2 650W"
12957,01-0001194215,"Napajanje Thermaltake Smart BM2 550W Bronze"
15208,01-0001194257,"EliteScreens projekcijsko platno 213x213 Električno"
12964,01-0001194274,"CPU AMD Ryzen 9 5950X"
12995,01-0001194284,"CPU AMD Ryzen 7 5800X"
13172,01-0001194295,"CPU AMD Ryzen 5 5600X"
12914,01-0001194456,"Napajanje Thermaltake Smart BM2 750W Bronze"
15186,01-0001194466,"PROJEKTOR ACER X118HP"
12921,01-0001194468,"Napajanje Thermaltake Toughpower PF1 750W Platinum"
12909,01-0001194571,"Napajanje Thermaltake Toughpower PF1 650W Platinum"
12910,01-0001194572,"Napajanje Thermaltake Toughpower PF1 850W Platinum"
15217,01-0001195206,"PROJEKTOR ACER X1226AH"
28050,01-0001195334,"PHILIPS soundbar TAB5105/12"
13249,01-0001195620,"MS ECHO C100 zvučnici"
25765,01-0001195834,"PROJEKTOR ACER X1126AH"
13130,01-0001195974,"WEB kamera Logitech C505 HD"
28041,01-0001196287,"PHILIPS soundbar TAB6405/10"
13014,01-0001196289,"CPU INT Core i5 10600KF"
28042,01-0001196291,"PHILIPS soundbar TAB6305/10"
13015,01-0001196293,"CPU INT Core i5 10600K"
12943,01-0001196296,"CPU INT Celeron G5905"
12952,01-0001196298,"CPU AMD Ryzen 9 5900X"
12980,01-0001196467,"MON 32 LG 32UN650-W 4K UHD IPS HDMI DP FreeSync"
13243,01-0001196730,"MS EOS C102 bijele slušalice"
15220,01-0001196774,"PROJEKTOR ACER H5385BDi"
16414,01-0001196775,"PROJEKTOR ACER H6541BDi"
15177,01-0001196837,"PROJEKTOR ACER X1526AH"
12927,01-0001196896,"Napajanje Thermaltake Toughpower GF1 650W Gold"
12928,01-0001196918,"Napajanje Thermaltake Toughpower GF1 750W Gold"
16049,01-0001196981,"PHO MSI EOS C101 bijele slušalice"
13242,01-0001197009,"MS METIS B300 bluetooth slušalice"
13244,01-0001197059,"MS METIS C100 crne slušalice"
16013,01-0001197094,"MON 24 LN Q24h-10, 66A8GAC6EU"
14223,01-0001197247,"CPU AMD Ryzen 5 1600AF"
13048,01-0001197895,"MON 24 LG 24BK750Y-B FHD IPS HDMI HAS"
13166,01-0001198256,"CPU INT Core i5 9600"
18505,01-0001198758,"CPU AMD Ryzen 5 5600X MPK"
15295,01-0001200395,"MS ELITE C330 US gaming LED US layout"
13600,01-0001202040,"MON 27 HP E27q G4 QHD, 9VG82AA"
15151,01-0001202224,"PROJEKTOR ACER X1127i"
15158,01-0001202231,"PROJEKTOR ACER B250i"
27400,01-0001202362,"Printe Canon Ink Pixma G3420"
25119,01-0001202449,"MON 32 LFD SM QM32R-T LH32QMRTBGCXEN"
27357,01-0001202614,"HP CLJ Enterprise M555dn, 7ZU78A"
27493,01-0001202642,"PRINTER MFP LEXMARK CLJ MC3224dwe"
28054,01-0001203126,"PHILIPS soundbar TAB5305/12"
29521,01-0001203349,"Prijenosno računalo HP 255 G8, 27K51EA"
15202,01-0001203455,"PROJEKTOR ACER X1128H"
15173,01-0001203462,"PROJEKTOR ACER P1255"
13233,01-0001203468,"MON 27 LG 27UL650-W 4K UHD IPS LED"
15138,01-0001203492,"PROJEKTOR ACER X1228H"
15181,01-0001203515,"PROJEKTOR ACER X1328WH"
15974,01-0001204088,"Zvučnici 2.1 Logitech Z407"
18382,01-0001204547,"EliteScreens Ultrashort projekcijsko platno zidno 112x199"
18134,01-0001204774,"CPU AMD Ryzen 5 5600X tray"
13599,01-0001205353,"MON 27 HP E27 G4 FHD, 9VG71AA"
22981,01-0001205354,"MON 23 HP E23 G4 FHD, 9VF96AA"
15612,01-0001205952,"MON 32 LG 32MN500M-B FHD IPS HDMIx2 FreeSync"
13693,01-0001205983,"MON 34 LG 34WN780-B QHD IPS 21:9 HDMIx2 DP zvučnici FreeSync"
15198,01-0001206025,"PROJEKTOR BENQ MW560"
14883,01-0001206073,"Lenovo prijenosno računalo IdeaPad 3 15IIL05, 81WE01DSSC"
27449,01-0001206329,"Canon InkJet MF Pixma TS3451WH 4463C026"
15603,01-0001206433,"MS MASTER B505 touchpad bežična tipkovnica"
15091,01-0001206434,"MS ALPHA M500 bežična tipkovnica"
15608,01-0001206446,"MS ATLAS O500 autofocus web kamera"
15152,01-0001206591,"PROJEKTOR BENQ MX560"
24601,01-0001206705,"MON 55 LFD SM VMT-E LH55VMTEBGBXEN Video Wall"
18502,01-0001206714,"MON 24 HP EliteDisplay E24 G4, 9VF99AA"
20009,01-0001207296,"HP MON 24 E24i G4 WUXGA, 9VJ40AA"
27281,01-0001207311,"Napajanje Thermaltake Toughpower TF1 1550W Titanium"
